../mahout/mahout-0.1/,../mahout/mahout-0.5/,AVG Mod,10.5457148289%,,../mahout/mahout-0.5/,../mahout/mahout-0.10.0/,AVG Mod,5.01627419355%,,../mahout/mahout-0.10.0/,../mahout/mahout-0.12.2/,AVG Mod,0.0852794361526%
SUB,192,ADD,2137,,SUB,455,ADD,501,,SUB,36,ADD,10
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchItemException.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchItemException.java,m,4.075%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/TasteOptionParser.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/TasteOptionParser.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/TasteOptionParser.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/TasteOptionParser.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchUserException.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchUserException.java,m,4.075%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,m,5.927%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommender.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/common/Refreshable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/common/Refreshable.java,m,4.005%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderBuilder.java,m,0.038%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderBuilder.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/common/TasteException.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/common/TasteException.java,m,0.641%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderEvaluatorRunner.java,m,0.022%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingBooleanRecommenderEvaluatorRunner.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/common/Weighting.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/common/Weighting.java,m,0.551%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModel.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModel.java,m,0.97%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModel.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModel.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/eval/DataModelBuilder.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModelBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModelBuilder.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModelBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingDataModelBuilder.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/eval/IRStatistics.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/eval/IRStatistics.java,m,7.704%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommender.java,m,5.826%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommender.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommender.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderBuilder.java,m,1.596%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderBuilder.java,m,0.038%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderBuilder.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderBuilder.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderEvaluator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderEvaluator.java,m,8.557%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderEvaluatorRunner.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderEvaluatorRunner.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/bookcrossing/BookCrossingRecommenderEvaluatorRunner.java,m,0.0%
